department_id,department_name,location,head_doctor_id,phone
1,Cardiology,"Block A, Floor 2",31,051-1110001
2,Neurology,"Block B, Floor 3",32,051-1110002
3,Pediatrics,"Block C, Floor 1",33,051-1110003
4,Orthopedics,"Block A, Floor 1",34,051-1110004
5,Emergency,"Block D, Ground",35,051-1110005
6,Radiology,"Block B, Floor 1",36,051-1110006
7,Pathology,"Block B, Floor 2",37,051-1110007
8,Oncology,"Block E, Floor 2",38,051-1110008
9,Gynecology,"Block C, Floor 2",39,051-1110009
10,Dermatology,"Block A, Floor 3",40,051-1110010
11,Psychiatry,"Block F, Floor 1",26,051-1110011
12,ENT,"Block A, Floor 2",27,051-1110012
13,Urology,"Block D, Floor 2",28,051-1110013
14,Gastroenterology,"Block E, Floor 1",29,051-1110014
15,General Medicine,"Block G, Ground",30,051-1110015
