room_id,room_number,room_type,department_id,status,price_per_day
1,R-101,Semi-Private,9,Occupied,5000
2,R-102,Emergency,2,Occupied,4000
3,R-103,Semi-Private,1,Occupied,5000
4,R-104,Semi-Private,2,Occupied,5000
5,R-105,Semi-Private,11,Available,5000
6,R-106,Private,7,Occupied,8000
7,R-107,Emergency,10,Occupied,4000
8,R-108,Semi-Private,8,Occupied,5000
9,R-109,Private,6,Available,8000
10,R-110,Semi-Private,5,Available,5000
11,R-111,Semi-Private,13,Occupied,5000
12,R-112,General,6,Occupied,3000
13,R-113,ICU,14,Available,15000
14,R-114,Private,8,Occupied,8000
15,R-115,ICU,13,Occupied,15000
16,R-116,Emergency,5,Occupied,4000
17,R-117,General,9,Available,3000
18,R-118,Private,2,Occupied,8000
19,R-119,Emergency,8,Available,4000
20,R-120,Semi-Private,12,Occupied,5000
21,R-121,General,8,Available,3000
22,R-122,Private,5,Occupied,8000
23,R-123,Private,12,Occupied,8000
24,R-124,Emergency,11,Occupied,4000
25,R-125,Emergency,8,Occupied,4000
26,R-126,Emergency,7,Occupied,4000
27,R-127,Semi-Private,6,Occupied,5000
28,R-128,ICU,5,Available,15000
29,R-129,Private,2,Occupied,8000
30,R-130,Emergency,2,Available,4000
31,R-131,Private,4,Occupied,8000
32,R-132,Emergency,5,Occupied,4000
33,R-133,Private,2,Occupied,8000
34,R-134,ICU,4,Available,15000
35,R-135,General,5,Available,3000
36,R-136,General,5,Available,3000
37,R-137,ICU,9,Available,15000
38,R-138,Semi-Private,11,Available,5000
39,R-139,General,14,Occupied,3000
40,R-140,Semi-Private,8,Occupied,5000
